parfum,id,alcool,kcal 100g,mat Gr %,Protéine %,Glucide %,Gluten,Glace,Sorbet,catégorie,couleur
Abricot,1,False,132,0,1,32,0,0,1,Les classiques,#F29422
Agenaise,2,True,236,11,4,31,0,1,0,Les alcoolisées,#D99E32
Ananas,3,False,132,0,1,32,0,0,1,Les exotiques,#F2CB05
Ananas infusion vanille,4,False,132,0,1,32,0,0,1,Les exotiques,#F2CB05
Ananas rôti au basilic,5,False,132,0,1,32,0,0,1,Les exotiques,#F2CB05
Banane,6,False,132,14,5,23,0,1,0,Les Insolites,#F2CD5E
Cacao extrabitter,7,False,132,0,1,32,0,0,1,Les surprenants,#402A1E
Cacao whisky,8,True,132,0,1,32,1,0,1,Les surprenants,#402A1E
Café au whisky,9,True,236,11,4,31,1,1,0,Les cafés,#592C12
Café dauphinoix,10,False,243,14,5,23,1,1,0,Les cafés,#592C12
Cannelle,11,False,243,14,5,23,0,1,0,Les Insolites,#D9753B
Cappuccino,12,False,243,14,5,23,1,1,0,Les cafés,#BF8756
Caramel au beurre salé,13,False,243,14,5,23,0,1,0,Les classiques,#D9751E
Caramel au gingembre,14,False,243,14,5,23,0,1,0,Les Insolites,#D9751E
Caramel nougatine,15,False,243,14,5,23,0,1,0,Les classiques,#D9751E
Cassis,16,False,132,0,1,32,0,0,1,Les fruits rouges,#0D0D0D
Cerise,17,False,132,0,1,32,0,0,1,Les fruits rouges,#73020C
Chocolat blanc,18,False,243,14,5,23,1,1,0,Les Chocolats,#F2E9CE
Chocolat blanc du mendiant,19,False,243,14,5,23,1,1,0,Les Chocolats,#F2E9CE
Chocolat noir,20,False,243,14,5,23,0,1,0,Les Chocolats,#593636
Chocolat noir au nougat,21,False,243,14,5,23,1,1,0,Les Chocolats,#593636
Chocolat noir du mendiant,22,False,243,14,5,23,1,1,0,Les Chocolats,#593636
Citron vert,23,False,132,0,1,32,0,0,1,Les Agrumes,#5B7307
Citron verveine,24,False,132,0,1,32,0,0,1,Les Agrumes,#F2CE16
Crème de citron,25,False,132,0,1,32,0,1,0,Les Insolites,#F2CE16
Créole,26,True,236,11,4,31,0,1,0,Les alcoolisées,#D99E32
Feuille de menthe,27,False,243,14,5,23,1,1,0,Les Insolites,#65A603
Figue,28,False,132,0,1,32,0,0,1,Les classiques,#8C4A81
Fraise,29,False,132,0,1,32,0,0,1,Les fruits rouges,#D90404
Fraise des bois,30,False,132,0,1,32,0,0,1,Les fruits rouges,#D90404
Framboise,31,False,132,0,1,32,0,0,1,Les fruits rouges,#D92958
Framboise à la rose,32,False,132,0,1,32,0,0,1,Les fruits rouges,#D92958
Fruit de la passion,33,False,132,0,1,32,0,0,1,Les exotiques,#F29F05
Gianduja noisette,34,False,243,14,5,23,1,1,0,Les Chocolats,#734636
Gianduja orange,35,False,236,11,4,31,1,1,0,Les Chocolats,#734636
Grand Marnier,36,True,236,11,4,31,0,1,0,Les alcoolisées,#D99E32
Groseille,37,False,132,0,1,32,0,0,1,Les fruits rouges,#BF0637
Lait d’amande,38,False,243,14,5,23,1,1,0,Les fruits à coques,#F2E6CE
Litchees,39,False,132,0,1,32,0,0,1,Les exotiques,#D95B66
Mandarine,40,False,113,0,0,28,0,0,1,Les Agrumes,#F28705
Mangue,41,False,132,0,1,32,0,0,1,Les exotiques,#F2620F
Marron glacé,42,True,180,7,2,26,1,1,0,Les alcoolisées,#A67244
Melon,43,False,132,0,1,32,0,0,1,Les surprenants,#F2994B
Mirabelle,44,False,132,0,1,32,0,0,1,Les classiques,#F2B705
Moka,45,False,243,14,5,23,1,1,0,Les cafés,#592C12
Mûre de framboisier,46,False,132,0,1,32,0,0,1,Les fruits rouges,#181D26
Mûre sauvage,47,False,132,0,1,32,0,0,1,Les fruits rouges,#181D26
